epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,416.61,0.51911,0.93506,1.05321,0.99797,1,0.995,0.96457,0.29602,0.69419,0.83955,0.000665333,0.000665333,0.000665333
2,814.024,0.40648,0.48528,0.96003,0.99934,1,0.995,0.96661,0.25912,0.34888,0.82746,0.00130563,0.00130563,0.00130563
3,1203.18,0.39528,0.38602,0.94678,0.99969,1,0.995,0.9899,0.23852,0.28354,0.81659,0.00191952,0.00191952,0.00191952
4,1590.41,0.35858,0.33826,0.93282,0.99971,1,0.995,0.98764,0.21362,0.24291,0.79188,0.0018812,0.0018812,0.0018812
5,1966.62,0.32903,0.30207,0.91722,0.9997,1,0.995,0.99292,0.20321,0.22714,0.78884,0.0018416,0.0018416,0.0018416
6,2346.57,0.31114,0.28561,0.91604,0.99571,1,0.995,0.99326,0.19798,0.26611,0.78999,0.001802,0.001802,0.001802
7,2719.05,0.30582,0.28239,0.91271,0.99988,1,0.995,0.99106,0.20004,0.18598,0.78957,0.0017624,0.0017624,0.0017624
8,3101.54,0.28103,0.25188,0.89781,0.99988,1,0.995,0.99464,0.1506,0.16379,0.76098,0.0017228,0.0017228,0.0017228
9,3510.19,0.26393,0.24008,0.89548,0.99781,1,0.995,0.99488,0.14645,0.17465,0.76823,0.0016832,0.0016832,0.0016832
10,3906,0.26105,0.2359,0.89267,0.99987,1,0.995,0.995,0.15802,0.15926,0.7722,0.0016436,0.0016436,0.0016436
11,4294.36,0.2626,0.22909,0.89671,0.99989,1,0.995,0.99482,0.14273,0.15388,0.76382,0.001604,0.001604,0.001604
12,4681.97,0.24983,0.22381,0.89293,0.99989,1,0.995,0.995,0.13167,0.13625,0.7569,0.0015644,0.0015644,0.0015644
13,5136.11,0.23855,0.21597,0.88478,0.99987,1,0.995,0.995,0.13891,0.14121,0.75914,0.0015248,0.0015248,0.0015248
14,5509.01,0.24088,0.21734,0.88447,0.99987,1,0.995,0.995,0.12962,0.12972,0.75045,0.0014852,0.0014852,0.0014852
15,6181.45,0.22106,0.20617,0.88293,0.99986,1,0.995,0.99483,0.11089,0.119,0.74547,0.0014456,0.0014456,0.0014456
16,6954.77,0.21936,0.20257,0.87965,0.99982,1,0.995,0.995,0.12351,0.12151,0.74864,0.001406,0.001406,0.001406
17,7494.49,0.21759,0.1991,0.88092,0.99989,1,0.995,0.995,0.11925,0.12272,0.7475,0.0013664,0.0013664,0.0013664
18,7846.34,0.21408,0.1996,0.88223,0.99989,1,0.995,0.995,0.12943,0.134,0.75354,0.0013268,0.0013268,0.0013268
19,8194.49,0.21116,0.19763,0.87575,0.99989,1,0.995,0.995,0.12321,0.12309,0.74686,0.0012872,0.0012872,0.0012872
20,8537.66,0.20583,0.19145,0.87521,0.99989,1,0.995,0.995,0.11171,0.12351,0.74484,0.0012476,0.0012476,0.0012476
21,8900.01,0.19564,0.18457,0.8744,0.99989,1,0.995,0.995,0.11314,0.11182,0.74182,0.001208,0.001208,0.001208
22,9250.6,0.19445,0.18221,0.87828,0.99989,1,0.995,0.995,0.10502,0.10867,0.74261,0.0011684,0.0011684,0.0011684
23,9592.89,0.19519,0.18179,0.87558,0.99989,1,0.995,0.995,0.10924,0.10863,0.74543,0.0011288,0.0011288,0.0011288
24,9935.67,0.18949,0.17966,0.86746,0.99988,1,0.995,0.995,0.11008,0.11692,0.74344,0.0010892,0.0010892,0.0010892
25,10284.9,0.18804,0.17796,0.86906,0.99989,1,0.995,0.995,0.10564,0.11507,0.74322,0.0010496,0.0010496,0.0010496
26,10645.1,0.19165,0.1749,0.8736,0.99542,1,0.995,0.99498,0.10561,0.1295,0.74341,0.00101,0.00101,0.00101
27,10999.9,0.17984,0.16667,0.86705,0.99988,1,0.995,0.995,0.09664,0.09531,0.73615,0.0009704,0.0009704,0.0009704
28,11346.3,0.17528,0.16256,0.86462,0.99988,1,0.995,0.995,0.08382,0.08725,0.73524,0.0009308,0.0009308,0.0009308
29,11699.7,0.17587,0.16488,0.86935,0.99984,1,0.995,0.995,0.10488,0.10611,0.73939,0.0008912,0.0008912,0.0008912
30,12056.9,0.16669,0.15898,0.86988,0.99988,1,0.995,0.995,0.09709,0.09798,0.74159,0.0008516,0.0008516,0.0008516
31,12416.2,0.16531,0.15945,0.86654,0.99989,1,0.995,0.995,0.08627,0.08982,0.73292,0.000812,0.000812,0.000812
32,12790.3,0.16362,0.15069,0.86292,0.99989,1,0.995,0.995,0.08536,0.08872,0.73351,0.0007724,0.0007724,0.0007724
33,13150.2,0.15872,0.15176,0.86361,0.99987,1,0.995,0.995,0.08295,0.09111,0.73441,0.0007328,0.0007328,0.0007328
34,13505.7,0.15916,0.14845,0.85697,0.9999,1,0.995,0.995,0.0724,0.08378,0.73062,0.0006932,0.0006932,0.0006932
35,13859.8,0.15525,0.14975,0.86083,0.99989,1,0.995,0.995,0.07693,0.0789,0.73287,0.0006536,0.0006536,0.0006536
36,14220.9,0.14535,0.14018,0.8607,0.99892,1,0.995,0.995,0.07419,0.08148,0.73182,0.000614,0.000614,0.000614
37,14583.8,0.14983,0.14576,0.85786,0.99989,1,0.995,0.995,0.07254,0.07483,0.73042,0.0005744,0.0005744,0.0005744
38,14937.8,0.14742,0.14363,0.86004,0.99989,1,0.995,0.995,0.07265,0.07827,0.73097,0.0005348,0.0005348,0.0005348
39,15301.7,0.13884,0.13728,0.85546,0.99985,1,0.995,0.995,0.07088,0.07615,0.72993,0.0004952,0.0004952,0.0004952
40,15659.4,0.1336,0.12996,0.85869,0.9999,1,0.995,0.995,0.07329,0.07268,0.73027,0.0004556,0.0004556,0.0004556
41,16018.5,0.08464,0.08505,0.79444,0.9999,1,0.995,0.995,0.06856,0.0732,0.72795,0.000416,0.000416,0.000416
42,16377.6,0.08326,0.08485,0.79749,0.99987,1,0.995,0.995,0.06514,0.06965,0.72857,0.0003764,0.0003764,0.0003764
43,16724.9,0.08214,0.0833,0.79194,0.99989,1,0.995,0.995,0.07468,0.0747,0.729,0.0003368,0.0003368,0.0003368
44,17075.8,0.07874,0.08073,0.79239,0.99987,1,0.995,0.995,0.06094,0.07203,0.72635,0.0002972,0.0002972,0.0002972
45,17429.8,0.07496,0.07721,0.792,0.9999,1,0.995,0.995,0.06036,0.06554,0.72709,0.0002576,0.0002576,0.0002576
46,17793.2,0.07542,0.07658,0.79512,0.9999,1,0.995,0.995,0.06382,0.06986,0.72767,0.000218,0.000218,0.000218
47,18154.4,0.07056,0.07234,0.78946,0.9999,1,0.995,0.995,0.05597,0.06021,0.72677,0.0001784,0.0001784,0.0001784
48,18509.4,0.06911,0.0699,0.78945,0.9999,1,0.995,0.995,0.06,0.05992,0.72571,0.0001388,0.0001388,0.0001388
49,18872.1,0.06427,0.06494,0.79069,0.9999,1,0.995,0.995,0.05268,0.05382,0.72485,9.92e-05,9.92e-05,9.92e-05
50,19232,0.061,0.06081,0.79148,0.9999,1,0.995,0.995,0.05478,0.05291,0.72528,5.96e-05,5.96e-05,5.96e-05
